iter	Passed	Remaining
0	0	64
1	1	63
2	2	69
3	3	76
4	3	73
5	4	69
6	4	65
7	5	62
8	5	59
9	6	58
10	7	56
11	7	56
12	8	59
13	9	58
14	9	56
15	10	55
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	14	50
22	15	51
23	15	50
24	16	49
25	17	48
26	17	47
27	18	46
28	18	45
29	19	44
30	19	44
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	23	40
37	24	39
38	24	38
39	25	37
40	25	37
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	31
51	33	30
52	33	30
53	34	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
